2684195;;;;PRFZR_O1A02;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31639;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $1 303,60 ;01/04/2025;
2684197;;;;PRFZR_O1A05;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31640;ANEXADO SAM - EM EXECUÇÃO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $1 019,24 ;01/04/2025;
2684198;;;;PRFZR_O1A08;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31641;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;Não se aplica; $1 019,24 ;01/03/2025;
2684199;;;; PRFZR_O1A03;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31642;CANCELADO ;#N/D;;Cancelado;Não se aplica; $1 076,89 ;;
2684200;;;;PRAUC_G1A16;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31683;CANCELADO ;#N/D;;Cancelado;Não se aplica; $247,20 ;;
2684202;;;;PRAUC_O1A01;OSP Regional;Aguardando Fechamento;MANUTENÇÃO PREVENTIVA CTA;31643;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Pendente Execução- TLSV;Não se aplica; $217,80 ;;
2684203;;;;PRAUC_O1A03;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31644;CANCELADO ;#N/D;;Cancelado;Não se aplica; $217,80 ;;
2713797;;;;PRAUC_O1A07;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31645;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 076,89 ;01/04/2025;
2684205;;;;PRCKG_O1A02;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31646;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $2 317,42 ;01/03/2025;
2684206;;;;PRCTA_G1M08;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31647;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Miguel;Atividade Concluida no campo ;Não se aplica; $4 648,36 ;01/03/2025;
2684207;;;;PRCTA_G1I38;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31648;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Miguel;Atividade Concluida no campo ;Não se aplica; $1 229,36 ;01/04/2025;
2713809;;;;PRCTA_G1I69;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31649;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 709,84 ;01/04/2025;
2684209;;;;PRCTA_G1I72;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31650;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $1 634,41 ;01/04/2025;
2713802;;;;PRCTA_G1I76;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31651;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 303,60 ;01/04/2025;
2684211;;;;PRCTA_G1I84;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31652;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $1 608,79 ;01/03/2025;
2713787;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31654;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 191,01 ;01/04/2025;
2713791;;;;PRCTA_G1I83;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31655;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 191,01 ;01/04/2025;
2684214;;;;PRCTA_G1M11;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31656;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Pendente Execução- TLSV;Não se aplica; $1 191,01 ;01/04/2025;
2684215;;;;PRCTA_G1M03;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31657;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $1 076,89 ;01/04/2025;
2684216;;;;PRCTA_G1N93;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31658;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $784,78 ;01/04/2025;
2713771;;;;PRCTA_G1M01;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31659;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $653,44 ;01/04/2025;
2713773;;;;PRCTA_G1M04;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31660;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $653,44 ;01/04/2025;
2713774;;;;PRCTA_G1M06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31661;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $653,44 ;01/04/2025;
2684222;;;;PRCTA_G1M89;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31662;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $713,66 ;01/03/2025;
2713775;;;;PRCTA_G1N97;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31663;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $653,44 ;01/04/2025;
2713761;;;;PRCTA_G1I68;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31664;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $361,33 ;01/04/2025;
2684225;;;;PRCTA_G1I80;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31665;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $361,33 ;01/04/2025;
2684226;;;;PRCTA_G1I92;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31668;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $361,33 ;01/04/2025;
2713763;;;;PRCTA_G1M05;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31671;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $361,33 ;01/04/2025;
2713767;;;;PRCTA_G1M07;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31673;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $361,33 ;01/04/2025;
2684229;;;;PRCTA_G1M12;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31674;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $595,86 ;01/03/2025;
2684230;;;;PRCTA_G1M88;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31675;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $361,33 ;01/04/2025;
2684231;;;;PRCTA_G1M90;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31676;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $361,33 ;01/04/2025;
2713714;;;;PRCTA_G1I82;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31677;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $247,20 ;01/04/2025;
2684232;;;;PRCTA_G1M13;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31678;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $247,20 ;01/04/2025;
2684234;;;;PRCTA_G1N95;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31681;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);;Atividade Pendente Execução- TLSV;Não se aplica; $247,20 ;01/04/2025;
2680188;;;;"	PRCTA_G1I83";OSP Regional;Concluído;EMERGENCIAL;30882;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Miguel;Atividade Concluida no campo ;Não se aplica; $9 049,58 ;01/04/2025;
2680186;;;;PRCTA_G1I81;OSP Regional;Concluído;EMERGENCIAL;31570;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);A.L TELECOM;Atividade Concluida no campo ;Não se aplica; $2 004,49 ;01/02/2025;
307312024;;;;1918596;B2B - Bucle;Concluído;B2B GPON;30731;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307312024; $2 056,00 ;01/12/2024;
307322024;;;;1931584;B2B - Bucle;Concluído;B2B GPON;30732;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307322024; $2 056,00 ;01/12/2024;
307332024;;;;1-898435663829;B2B - Bucle;Concluído;B2B GPON;30733;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307332024; $2 056,00 ;01/12/2024;
307342025;;;;1868907;B2B - Bucle;Concluído;B2B GPON;30734;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307342025; $2 056,00 ;01/12/2024;
307682025;;;;1929892;B2B - Bucle;Concluído;B2B GPON;30768;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307462025; $2 056,00 ;01/01/2025;
307352025;;;;1930932;B2B - Bucle;Concluído;B2B GPON;30735;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307472025; $2 056,00 ;01/12/2024;
307362025;;;;1928981;B2B - Bucle;Concluído;B2B GPON;30736;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307482025; $2 056,00 ;01/12/2024;
307372025;;;;ORD0006672;Ordem Fênix;Concluído;B2B GPON;30737;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307722025; $2 056,00 ;01/10/2024;
307382025;;;;1932340;B2B - Bucle;Concluído;B2B GPON;30738;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310932025; $2 056,00 ;01/12/2024;
307392025;;;;1932273;B2B - Bucle;Concluído;B2B GPON;30739;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307492025; $2 056,00 ;01/12/2024;
307402025;;;;1932457;B2B - Bucle;Concluído;B2B GPON;30740;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309402025; $2 056,00 ;01/12/2024;
307412025;;;;1932584;B2B - Bucle;Concluído;B2B GPON;30741;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307802025; $2 056,00 ;01/12/2024;
307422025;;;;1933047;B2B - Bucle;Concluído;B2B GPON;30742;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309392025; $2 056,00 ;01/12/2024;
307432025;;;;1-905735025073;B2B - Bucle;Concluído;B2B GPON;30743;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307832025; $2 056,00 ;01/12/2024;
307442025;;;;1932405;B2B - Bucle;Concluído;B2B GPON;30744;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;307862025; $2 056,00 ;01/12/2024;
307452025;;;;1932464;B2B - Bucle;Concluído;B2B GPON;30745;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;308842025; $2 056,00 ;01/12/2024;
307462025;;;;1939832;B2B - Bucle;Concluído;B2B GPON;30746;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;308852025; $2 056,00 ;01/12/2024;
307472025;;;;1-907391017941;B2B - Bucle;Concluído;B2B GPON;30747;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309012025; $2 056,00 ;01/12/2024;
307482025;;;;1900090;B2B - Bucle;Concluído;B2B GPON;30748;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309022025; $2 056,00 ;01/12/2024;
307722025;;;;1932542;B2B - Bucle;Concluído;B2B GPON;30772;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309032025; $2 056,00 ;01/01/2025;
310932025;;;;1937883;B2B - Bucle;Concluído;B2B GPON;31093;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309042025; $2 056,00 ;01/01/2025;
307492025;;;;1939096;B2B - Bucle;Concluído;B2B GPON;30749;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309052025; $2 056,00 ;01/12/2024;
309402025;;;;1939796;B2B - Bucle;Concluído;B2B GPON;30940;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309062025; $2 056,00 ;01/01/2025;
307802025;;;;1935888;B2B - Bucle;Concluído;B2B GPON;30780;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309122025; $2 056,00 ;01/01/2025;
309392025;;;;1935369;B2B - Bucle;Concluído;B2B GPON;30939;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309132025; $2 056,00 ;01/01/2025;
307832025;;;;1938932;B2B - Bucle;Concluído;B2B GPON;30783;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309142025; $2 056,00 ;01/01/2025;
307862025;;;;1936938;B2B - Bucle;Concluído;B2B GPON;30786;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309152025; $2 056,00 ;01/01/2025;
308842025;;;;1894051;B2B - Bucle;Concluído;B2B GPON;30884;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309202025; $2 056,00 ;01/01/2025;
308852025;;;;1942316;B2B - Bucle;Concluído;B2B GPON;30885;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309212025; $2 056,00 ;01/01/2025;
309012025;;;;1943476;B2B - Bucle;Concluído;B2B GPON;30901;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309012025; $2 056,00 ;01/01/2025;
309022025;;;;1-905755123402;B2B - Bucle;Concluído;B2B GPON;30902;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309272025; $2 056,00 ;01/01/2025;
309032025;;;;1943134;B2B - Bucle;Concluído;B2B GPON;30903;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309812025; $2 056,00 ;01/01/2025;
309042025;;;;1944280;B2B - Bucle;Concluído;B2B GPON;30904;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309822025; $2 056,00 ;01/01/2025;
309052025;;;;1941099;B2B - Bucle;Concluído;B2B GPON;30905;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309832025; $2 056,00 ;01/01/2025;
309062025;;;;1898363;B2B - Bucle;Concluído;B2B GPON;30906;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309842025; $2 056,00 ;01/01/2025;
309122025;;;;1-902817115527;B2B - Bucle;Concluído;B2B GPON;30912;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309862025; $2 056,00 ;01/01/2025;
309132025;;;;1947147;B2B - Bucle;Concluído;B2B GPON;30913;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;309882025; $2 056,00 ;01/01/2025;
309142025;;;;1939390;B2B - Bucle;Concluído;B2B GPON;30914;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311202025; $2 056,00 ;01/01/2025;
309152025;;;;1910322;B2B - Bucle;Concluído;B2B GPON;30915;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310122025; $2 056,00 ;01/01/2025;
309202025;;;;1909950;B2B - Bucle;Concluído;B2B GPON;30920;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310672025; $2 056,00 ;01/01/2025;
309212025;;;;1942725;B2B - Bucle;Concluído;B2B GPON;30921;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310702025; $2 056,00 ;01/01/2025;
309282025;;;;1946493;B2B - Bucle;Concluído;B2B GPON;30928;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310712025; $2 056,00 ;01/01/2025;
309272025;;;;1895725;B2B - Bucle;Concluído;B2B GPON;30927;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310682025; $2 056,00 ;01/01/2025;
309812025;;;;1949374;B2B - Bucle;Concluído;B2B GPON;30981;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;310972025; $2 056,00 ;01/01/2025;
309822025;;;;1949475;B2B - Bucle;Concluído;B2B GPON;30982;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311142025; $2 056,00 ;01/01/2025;
309832025;;;;1-904766063790;B2B - Bucle;Concluído;B2B GPON;30983;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311362025; $2 056,00 ;01/01/2025;
309842025;;;;1932506;B2B - Bucle;Concluído;B2B GPON;30984;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311852025; $2 056,00 ;01/01/2025;
309862025;;;;1937965;B2B - Bucle;Concluído;B2B GPON;30986;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311862025; $2 056,00 ;01/01/2025;
309882025;;;;1828261;B2B - Bucle;Concluído;B2B GPON;30988;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311872025; $2 056,00 ;01/01/2025;
311202025;;;;1950881;B2B - Bucle;Concluído;B2B GPON;31120;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311882025; $2 056,00 ;01/02/2025;
310122025;;;;1950954;B2B - Bucle;Concluído;B2B GPON;31012;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311892025; $2 056,00 ;31/01/2025;
310672025;;;;1-911202463915;B2B - Bucle;Concluído;B2B GPON;31067;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;311962025; $2 056,00 ;01/01/2025;
310702025;;;;1-911343344803;B2B - Bucle;Concluído;B2B GPON;31070;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312232025; $2 056,00 ;01/01/2025;
310712025;;;;1-911342552304;B2B - Bucle;Concluído;B2B GPON;31071;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312242025; $2 056,00 ;01/01/2025;
310682025;;;;1955000;B2B - Bucle;Concluído;B2B GPON;31068;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312252025; $2 056,00 ;01/01/2025;
310972025;;;;1-911186542309;B2B - Bucle;Concluído;B2B GPON;31097;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312262025; $2 056,00 ;01/01/2025;
311142025;;;;1-911695111392;B2B - Bucle;Concluído;B2B GPON;31114;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ; ; $2 056,00 ;01/02/2025;
311362025;;;;1879112;B2B - Bucle;Concluído;B2B GPON;31136;SAM - FATURADO/PENDENTE n°PEDIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Gabriel;Atividade Concluida no campo ;312482025; $2 056,00 ;01/02/2025;
